Country,ISO_code,Years,Age,Any_method,Any_modern_method,Female_Sterilization,Male_Sterilization,Pill,Injectable,IUD,Male_condom,Vaginal_barrier_methods,Implant,Other_modern_methods,Any_traditional_method,Rhythm,Withdrawal,Other_traditional_methods
Afghanistan,004,1972-1974,15-44,"1,6","1,6",0,0,1,0,"0,4",0,"0,2",0,0,0,0,0,0
Afghanistan,004,2000,12-49,"4,9","3,6","0,8","0,1","1,2","1,3","0,3",0,0,0,0,"1,2","0,4","0,5","0,3"
Afghanistan,004,2003,<50,"10,3","8,7",0,0,5,"2,2",0,"0,6",0,0,"0,9","1,6",0,0,0
Afghanistan,004,2005,<50,"13,6","12,5",0,0,6,5,0,"1,1",0,0,"0,4","1,1",0,"0,8","0,3"
Afghanistan,004,2006,10-49,"18,6","15,5","0,7",0,"8,1","5,4",1,"2,2",0,0,0,"4,3","0,5","0,6","3,2"
Afghanistan,004,2007-2008,15-49,"22,8","15,2",0,0,0,0,0,0,0,0,0,"7,6",0,0,0
Afghanistan,004,2010,15-49,"21,8","16,3","1,4",0,"5,3","6,5","1,3","1,7",0,"0,1",0,"5,6","0,3","1,4","3,9"
Afghanistan,004,2010-2011,15-49,"21,2","19,5","0,6","0,2","5,5","9,6","1,2","1,3","0,1","0,8","0,2","1,8",0,"0,5","1,3"
Albania,008,2000,15-49,"57,5","15,3","0,9","0,2","5,6","0,7",0,"7,9",0,0,0,"42,2","7,5","31,8","2,8"
Albania,008,2002,15-44,"75,1",8,4,0,1,"0,4","0,5","2,1",0,0,0,"67,1",0,0,0
Albania,008,2005,15-49,"60,1","22,4","1,2","0,1","9,5","0,8",0,"10,9",0,0,0,"37,7","6,9","28,1","2,8"
Albania,008,2008-2009,15-49,"69,3","10,2",3,0,"1,6","0,7","0,9",4,0,0,"0,1","59,1","0,8","57,9","0,4"
Algeria,012,1986-1987,15-49,"35,8","31,3",0,0,"26,6",0,"2,1","0,5",0,0,"2,1","4,5","1,4","3,1",0
Algeria,012,1992,15-49,"50,9","43,2","1,1",0,"38,9","0,1","2,4","0,5","0,2",0,0,"7,7","1,7","1,8","4,2"
Algeria,012,1995,15-49,"56,9","49,4",0,0,"44,2","0,1",4,"0,8",0,0,"0,3","7,5","2,4","0,6","4,5"
Algeria,012,2000,15-49,64,"50,1",0,0,"44,3",0,"4,3","1,5",0,0,0,"13,9","4,9","3,5","5,5"
Algeria,012,2002,15-49,57,"51,8",0,0,"46,8",0,"3,1",0,0,0,"1,8","5,1","2,2","1,7","1,2"
Algeria,012,2006,15-49,"61,4",52,"1,1",0,"45,9",0,"2,3","2,3",0,0,"0,3","9,4","4,1","3,3",2
Angola,024,1996,15-49,"8,1","4,1",0,0,"1,9","1,2","0,7","0,3",0,0,0,4,"1,2","0,2","2,7"
Angola,024,2001,15-49,"6,2","4,5","0,1",0,"2,2","1,4","0,4","0,3","0,1",0,"0,1","1,7","1,2","0,1","0,4"
Angola,024,2008-2009,12-49,"17,7",0,0,0,0,0,0,"4,5",0,0,0,0,0,0,0
Anguilla,660,2003,15-45,43,"40,8","2,6",0,"17,6","1,7","2,6",15,"0,4",0,"0,9","2,6","0,9","1,7",0
Antigua and Barbuda,028,1981,15-44,"48,2","44,6","10,5",0,20,"5,4",5,2,"1,7",0,0,"2,4","1,3","1,1",0
Antigua and Barbuda,028,1988,15-44,"52,6","50,6","11,4",0,"26,2","3,2","1,1","5,5","3,2",0,0,2,"0,5","1,1","0,4"
Argentina,032,2001,15-49,"65,3","63,8",0,0,"30,4",0,"9,5","22,3","1,6",0,0,"13,3","9,1",0,"4,2"
Argentina,032,2004-2005,15-49,"78,9","69,9","5,8",0,"20,4","2,4","8,4","32,9",0,0,"0,8",9,"4,8","3,4","0,1"
Armenia,051,1991,15-44,56,"25,2",0,0,"1,7",0,"7,8","15,7",0,0,0,"30,8",0,"17,9","12,9"
Armenia,051,2000,15-49,"60,5","20,4","2,7",0,"1,1","0,1","9,4","6,9","0,2",0,0,"40,1","4,8","31,9","3,4"
Armenia,051,2005,15-49,"53,1","19,1","0,6",0,"0,8",0,"9,4","8,1","0,2",0,0,34,"3,8","27,7","2,5"
Armenia,051,2010,15-49,"54,9",26,"0,2",0,"1,5",0,"9,6","14,6","0,1",0,0,"28,9","2,8","24,5","1,6"
Australia,036,1986,20-49,"76,1","72,2","27,7","10,4",24,0,"4,9","4,4","0,8",0,0,"3,9",2,"1,6","0,3"
Australia,036,1995,18-49,"66,7","63,9","12,8","9,7","26,7",0,2,"11,7",0,0,1,"2,7",2,0,"0,7"
Australia,036,2001-2002,16-59,"70,8","70,8","15,9","13,7","23,8","1,1","0,8","15,2","0,8","0,8","0,1","6,3","3,1","3,2",0
Australia,036,2005,18-44,"72,3","68,1","6,6","9,3",30,"2,1","1,6","14,6",0,"2,8","1,1","4,2","1,7","2,5",0
Austria,040,1995-1996,20-49,"50,9","46,8",0,"0,5","30,8","0,3","7,3","7,2","0,7",0,0,"4,1","2,5","0,7","0,9"
Austria,040,2008-2009,18-46,"69,6","67,6","6,3","4,3",24,"1,9","15,4",14,"0,3","0,8","0,7",2,"1,5","0,5",0
Azerbaijan,031,2000,15-49,"55,1","15,8","0,5","0,1","3,3","0,4","9,3","2,1","0,1",0,0,"39,3","4,3","30,6","4,4"
Azerbaijan,031,2001,15-44,"55,4","11,9","1,2",0,1,0,"6,1","3,2","0,3",0,"0,1","43,5",3,"40,5",0
Azerbaijan,031,2006,15-49,"51,1","13,2","0,4",0,"1,1",0,"9,2","2,2","0,2",0,0,"37,9",4,"32,5","1,4"
Bahamas,044,1988,15-44,"61,7","60,1","16,4",0,"31,5","4,8","3,7","2,3","1,4",0,0,"1,6",0,0,0
Bahrain,048,1989,15-49,"53,8","30,3","7,2",0,"13,1",0,"1,6","8,2",0,0,"0,2","23,5",0,"19,4","4,1"
Bahrain,048,1995,15-49,"61,8","30,6","6,2",0,"10,9",0,"2,9","9,6",0,0,"1,1","31,2","3,2","26,3","1,7"
Bangladesh,050,1975-1976,10-49,"7,7",5,"0,6","0,5","2,7",0,"0,5","0,7",0,0,0,"2,7","0,9","0,5","1,3"
Bangladesh,050,1979-1980,10-49,"12,7","8,9","2,4","0,9","3,6","0,2","0,2","1,5","0,1",0,0,"3,8","2,2","0,2","1,4"
Bangladesh,050,1981,10-49,"18,6",11,4,"0,8","3,5","0,4","0,4","1,6","0,3",0,0,"7,6","3,9","1,8","1,9"
Bangladesh,050,1983-1984,10-49,"19,1","13,7","6,2","1,2","3,3","0,2",1,"1,5","0,3",0,0,"5,4","2,4","1,3","1,8"
Bangladesh,050,1985-1986,10-49,"25,3","18,4","7,9","1,5","5,1","0,5","1,4","1,8","0,2",0,0,"6,9","3,8","0,9","2,2"
